,category,deadline,funded,goal,phase,progress,project,sponsor,sponsor_page,status,supports
939,科技,2015-03-26 00:00:00,395851,10000,项目成功,3959,CASE智能无线相机控制器,新谦益科技,https://z.jd.com/funderCenter.action?flag=2&id=5638,已筹到,3006
940,科技,2015-03-11 00:00:00,43864,20000,项目成功,219,Atachi高清无线显示器,云聚2015,https://z.jd.com/funderCenter.action?flag=2&id=3533,已筹到,1328
941,科技,2016-06-26 00:00:00,114284,100000,项目成功,114,米哇二代定位豆,瑛世得,https://z.jd.com/funderCenter.action?flag=2&id=56298,已筹到,744
942,科技,2016-06-25 00:00:00,572734,500000,项目成功,115,绝尘侠π-2壳体光透电竞箱,广州绝尘侠,https://z.jd.com/funderCenter.action?flag=2&id=56341,已筹到,1050
943,科技,2016-06-25 00:00:00,509845,500000,项目成功,102,大K智能插座,凯普乐11,https://z.jd.com/funderCenter.action?flag=2&id=56273,已筹到,1670
944,科技,2016-06-25 00:00:00,10056262,1000000,项目成功,1006,360骑卫士GPS定位器,野马科技,https://z.jd.com/funderCenter.action?flag=2&id=57119,已筹到,4232
945,科技,2016-07-05 00:00:00,203330,200000,项目成功,102,Ipuda 无线快拍充电宝,远润欣电子,https://z.jd.com/funderCenter.action?flag=2&id=55418,已筹到,1011
946,科技,2016-07-01 00:00:00,509826,500000,项目成功,102,骨传导防水音乐播放器,骨传导防水音乐播放器,https://z.jd.com/funderCenter.action?flag=2&id=55720,已筹到,990
947,家电,2016-06-25 00:00:00,317770,100000,项目成功,318,一台来自银河系的食光机,东研电器,https://z.jd.com/funderCenter.action?flag=2&id=54782,已筹到,50923
948,科技,2016-07-05 00:00:00,239798,200000,项目成功,120,听觉之旅：KK智能云音箱,扬立铭YLM,https://z.jd.com/funderCenter.action?flag=2&id=56289,已筹到,3107
949,科技,2014-09-06 00:00:00,61558,10000,项目成功,616,智能家用卡片式心电仪,丰拓生物,https://z.jd.com/funderCenter.action?flag=2&id=374,已筹到,210
950,科技,2014-09-14 00:00:00,562606,10000,项目成功,5626,Fitband让你睡得更好,红尘一员,https://z.jd.com/funderCenter.action?flag=2&id=578,已筹到,1206
951,科技,2014-08-14 00:00:00,100636,20000,项目成功,503,ERI智能运动手环,DIGICare,https://z.jd.com/funderCenter.action?flag=2&id=206,已筹到,477
952,科技,2014-09-13 00:00:00,19290,10000,项目成功,193,悦优米：360度健康生活管家,悦优博迈科技有限公司,https://z.jd.com/funderCenter.action?flag=2&id=442,已筹到,86
953,科技,2014-09-09 00:00:00,31886,10000,项目成功,319,全球首款智能随身检测净化器,SANYUKI_CAR,https://z.jd.com/funderCenter.action?flag=2&id=449,已筹到,116
954,科技,2014-08-14 00:00:00,105343,10000,项目成功,1053,Dr Air智能便携甲醛监测仪,DrAir空气医生,https://z.jd.com/funderCenter.action?flag=2&id=268,已筹到,491
955,科技,2014-08-29 00:00:00,2598756,30000,项目成功,8663,XGIMI便携智能投影影院,XGIMI极米,https://z.jd.com/funderCenter.action?flag=2&id=512,已筹到,1426
956,科技,2014-09-19 00:00:00,735728,10000,项目成功,7357,『智驾神器』小安车宝盒子,睿歌智能生活,https://z.jd.com/funderCenter.action?flag=2&id=472,已筹到,3039
957,科技,2014-08-06 00:00:00,42274,20000,项目成功,211,全球首款0流量汽车网络电台,多听FM,https://z.jd.com/funderCenter.action?flag=2&id=106,已筹到,468
958,科技,2014-09-11 00:00:00,92786,20000,项目成功,464,汇清全智能桌面空气净化机,汇清科技,https://z.jd.com/funderCenter.action?flag=2&id=488,已筹到,235
959,科技,2014-08-25 00:00:00,15019,10000,项目成功,150,大姨吗 智能防晒小助手,大姨吗小助手,https://z.jd.com/funderCenter.action?flag=2&id=236,已筹到,105
960,科技,2014-08-04 00:00:00,15179,10000,项目成功,152,鸦鸦“魔盒”3D打印笔,鸦鸦3D小伙伴,https://z.jd.com/funderCenter.action?flag=2&id=204,已筹到,108
